#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021731.1	1	206940385	239427336	201926745	97.5773	115.041	35	58.8
JAACYQ010010008.1	1	14679	12774	14665	99.9046	78.7983	33.2	54.1
JAACYQ010010010.1	1	3703	5556	3703	100	147.501	35.1	60
JAACYQ010010011.1	1	2707	3508	2707	100	127.492	35	59.5
JAACYQ010010234.1	1	8174	8993	8174	100	108.191	34.5	59.2
JAACYQ010010598.1	1	28441	32873	28441	100	113.722	34.7	51.9
JAACYQ010010599.1	1	14261	16118	14251	99.9299	111.612	34.9	41.9
MU014361.1	1	21494	20862	21474	99.907	95.6219	35	59.2
JAACYQ010012287.1	1	2764	3069	2764	100	111.052	35.1	59.8
JAACYQ010012304.1	1	2613	2348	2613	100	87.9235	34.9	59.8
JAACYQ010012314.1	1	2796	2860	2796	100	100.641	35.2	59.9
JAACYQ010012505.1	1	1335	1234	1335	100	89.0232	35	57.8
JAACYQ010012554.1	1	1611	1872	1611	100	118.298	35.2	57.1
JAACYQ010012606.1	1	3721	1706	3634	97.6619	43.3545	35.1	2.55
JAACYQ010012712.1	1	1139	1512	1139	100	127.848	35.4	54.3
JAACYQ010012713.1	1	1048	218	1048	100	21.0076	34.8	50.7
JAACYQ010012754.1	1	6772	7371	6763	99.8671	104.701	35.1	48.3
JAACYQ010012767.1	1	1063	1292	1063	100	124.951	35.1	55.4
JAACYQ010012789.1	1	2402	142	2353	97.96	5.199	34.7	26.2
JAACYQ010012802.1	1	12540	12343	12540	100	97.6479	35	58
JAACYQ010012810.1	1	1460	1729	1460	100	118.334	35	59.7
JAACYQ010012854.1	1	7529	8041	7529	100	106.593	34.9	57.9
JAACYQ010012897.1	1	1798	1830	1798	100	100.503	34.8	49.9
JAACYQ010012967.1	1	2596	693	1628	62.7119	24.3856	35.1	3.8
JAACYQ010012990.1	1	2381	2285	2336	98.11	95.8194	35.1	59.8
JAACYQ010012995.1	1	9757	11607	9718	99.6003	117.427	35.1	59.3
JAACYQ010013011.1	1	1500	1	32	2.13333	0.0213333	36.9	0
JAACYQ010013031.1	1	1429	91	1045	73.1281	6.08677	35.2	7.42
JAACYQ010013132.1	1	3264	3537	3261	99.9081	106.629	34.8	59.2
JAACYQ010013153.1	1	1934	2203	1932	99.8966	114.103	35	45.2
JAACYQ010013155.1	1	4644	4456	4644	100	94.2425	34.4	59.2
JAACYQ010013178.1	1	7907	7636	7907	100	94.8914	35.1	54.8
JAACYQ010013210.1	1	3417	3540	3417	100	103.506	35.2	58.5
JAACYQ010013264.1	1	9649	12531	9649	100	129.674	35	55.2
JAACYQ010013287.1	1	7848	185	990	12.6147	1.94839	35.1	12.4
JAACYQ010013302.1	1	3024	372	2605	86.1442	12.1002	35.2	0.672
JAACYQ010013314.1	1	1526	49	458	30.0131	3.154	33.8	2.33
JAACYQ010013329.1	1	2820	294	1089	38.617	8.27376	34	13.9
JAACYQ010013336.1	1	5401	6852	5401	100	115.48	34.9	54.1
JAACYQ010013692.1	1	635	10226	635	100	1615.1	34.7	43.3
JAACYQ010013732.1	1	734	8580	734	100	1174.67	35.2	28.3
MU014362.1	1	16708	17092	16702	99.9641	101.797	35	59.2
JAACYQ010013979.1	1	2383	2584	2383	100	103.639	35.1	53.3
JAACYQ010014219.1	1	1172	1238	1172	100	95.5009	34.9	58.5
JAACYQ010014233.1	1	3849	4555	3849	100	117.62	35.1	53.4
JAACYQ010014256.1	1	2132	2154	2132	100	101.473	35.2	59.8
JAACYQ010014263.1	1	3113	3157	3113	100	100.796	35.2	59.5
JAACYQ010014280.1	1	3379	2813	3379	100	82.604	35	59.4
JAACYQ010014532.1	1	1926	1799	1926	100	91.3271	35	58.6
JAACYQ010014555.1	1	3905	5123	3905	100	129.065	34.9	55.4
JAACYQ010014569.1	1	2844	3042	2844	100	106.605	34.7	42.3
JAACYQ010014582.1	1	5426	6859	5426	100	125.138	35	39.5
JAACYQ010014584.1	1	2459	78	750	30.5002	3.1098	35.5	2.59
JAACYQ010014596.1	1	1419	63	478	33.6857	2.77026	35.2	7.08
JAACYQ010014612.1	1	1624	1363	1624	100	82.8245	34.8	59
JAACYQ010014625.1	1	12892	12466	12890	99.9845	93.8729	34.9	57.5
JAACYQ010014652.1	1	11850	13997	11850	100	118.43	35	59.3
JAACYQ010014663.1	1	6748	7472	6748	100	109.953	34.9	51.8
JAACYQ010014664.1	1	4560	4945	4560	100	107.152	35	58.3
JAACYQ010014720.1	1	5400	6499	5400	100	118.767	35	59.7
JAACYQ010014799.1	1	13315	15540	13315	100	116.332	35	53.6
JAACYQ010014802.1	1	6247	66	870	13.9267	0.434929	35.2	34.3
JAACYQ010014812.1	1	1787	1868	1787	100	104.511	35.3	58.1
JAACYQ010014901.1	1	4084	4096	4084	100	100.221	34.9	59.8
JAACYQ010014978.1	1	3105	150	987	31.7874	3.91369	34.8	12.4
MU014363.1	1	1531	997	1520	99.2815	65.5095	34.7	59
MU014364.1	1	1508	312	1398	92.7056	13.2858	27.9	34.8
JAACYQ010015459.1	1	6736	8286	6734	99.9703	122.829	35	47.6
JAACYQ010015511.1	1	4240	3402	4238	99.9528	79.6198	34.9	58.9
MU014365.1	1	7194	23785	7019	97.5674	278.651	34.6	53.5
JAACYQ010015676.1	1	2962	3663	2962	100	121.194	34.7	55.7
JAACYQ010015699.1	1	7827	8946	7827	100	113.705	35	59
JAACYQ010015765.1	1	2653	4939	2653	100	182.731	35	53.2
JAACYQ010015795.1	1	3457	3763	3457	100	106.799	35	59.1
JAACYQ010015821.1	1	8708	9067	8708	100	103.013	35	59.4
JAACYQ010015848.1	1	3603	3953	3603	100	110.805	34.9	52.5
JAACYQ010015863.1	1	2187	2103	2187	100	94.0896	34.4	47.4
JAACYQ010015876.1	1	2519	1973	2166	85.9865	70.9341	34.1	49.3
JAACYQ010015877.1	1	1449	1436	1449	100	96.2809	34.4	58.8
JAACYQ010016016.1	1	6512	6517	6512	100	99.4888	34.5	59.1
JAACYQ010016024.1	1	1764	2045	1764	100	115.545	35	58.7
JAACYQ010016044.1	1	4140	3582	4139	99.9758	84.4184	34.9	58
JAACYQ010016079.1	1	2624	2373	2624	100	91.2786	35	59.9
JAACYQ010016090.1	1	4580	4616	4580	100	99.7334	35.1	59.8
JAACYQ010016093.1	1	7900	8298	7900	100	104.325	35.1	59.7
JAACYQ010016121.1	1	5097	6206	5097	100	121.189	34.9	59.6
JAACYQ010016124.1	1	1969	2486	1969	100	125.664	35.2	55.1
JAACYQ010016171.1	1	3977	4552	3977	100	113.724	35.1	52.1
JAACYQ010016195.1	1	4819	5998	4819	100	123.616	35.1	57.2
JAACYQ010016237.1	1	1387	1569	1387	100	85.6936	32.5	38.9
JAACYQ010016308.1	1	2174	5306	2174	100	245.159	34.5	59.9
MU014366.1	1	1376	450	1216	88.3721	17.4593	27.3	15.7
JAACYQ010016494.1	1	14258	15635	14256	99.986	109.025	35.1	59.5
JAACYQ010016533.1	1	3950	3783	3950	100	94.7134	35	55.1
MU014367.1	1	3512	3055	3506	99.8292	86.5849	34.9	59
JAACYQ010016551.1	1	12471	13984	12471	100	111.567	35.1	56.2
JAACYQ010016552.1	1	1120	303	1120	100	27.033	35.1	50.9
JAACYQ010016553.1	1	6455	6681	6455	100	102.709	34.9	54.9
JAACYQ010016617.1	1	10541	10940	10541	100	103.125	35	59.3
MU014368.1	1	8759	8768	8751	99.9087	99.6521	34.7	59.7
MU014369.1	1	8108	8446	7982	98.446	103.095	35.1	59.5
JAACYQ010016695.1	1	7848	8798	7848	100	111.301	35	54.7
JAACYQ010016814.1	1	8400	9327	8400	100	110.647	35.1	59.8
JAACYQ010016833.1	1	14764	790	2811	19.0396	2.45116	34.8	12
JAACYQ010016843.1	1	9865	9677	9865	100	100.712	34.9	59.2
JAACYQ010016865.1	1	10438	10496	10438	100	99.7638	35.2	59.3
JAACYQ010016869.1	1	6183	6472	6183	100	103.672	35	57.4
JAACYQ010016896.1	1	4430	5314	4430	100	118.056	34.6	59.6
JAACYQ010016899.1	1	6558	8584	6552	99.9085	124.559	34.6	50.6
JAACYQ010016918.1	1	1598	1976	1598	100	122.986	35	59.5
JAACYQ010016954.1	1	3010	3296	3010	100	108.829	34.8	59.6
JAACYQ010016957.1	1	4611	4848	4611	100	104.086	35.1	59.4
JAACYQ010016962.1	1	1794	2181	1794	100	115.724	35.1	58
JAACYQ010017025.1	1	1592	6616	1592	100	407.228	34.9	55.2
JAACYQ010017035.1	1	4589	4246	4589	100	91.9494	35	59.8
JAACYQ010017037.1	1	4903	5435	4903	100	110.187	35.1	49.8
JAACYQ010017053.1	1	2506	2967	2506	100	117.831	35.1	58.1
JAACYQ010017065.1	1	4405	4684	4405	100	105.441	35	56.5
JAACYQ010017088.1	1	1219	845	1219	100	66.1025	32.7	57.9
JAACYQ010017096.1	1	5965	6191	5965	100	102.658	35	57.4
JAACYQ010017174.1	1	5404	5615	5404	100	103.968	35	59.4
JAACYQ010017202.1	1	4083	4582	4083	100	111.364	35	55.4
MU014370.1	1	5762	5485	5753	99.8438	93.323	33.9	57.5
MU014371.1	1	7059	7391	6959	98.5834	103.696	35.1	59.1
MU014372.1	1	6514	6672	6505	99.8618	101.692	35	58.1
