#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021731.1	1	206940385	225592138	201928097	97.5779	108.384	35	58.7
JAACYQ010010008.1	1	14679	14478	14624	99.6253	87.9436	33.1	53
JAACYQ010010010.1	1	3703	6303	3703	100	167.57	35	60
JAACYQ010010011.1	1	2707	4342	2707	100	158.412	35	59.8
JAACYQ010010234.1	1	8174	8838	8174	100	106.367	34.6	59.2
JAACYQ010010598.1	1	28441	30679	28441	100	106.075	34.7	51.9
JAACYQ010010599.1	1	14261	15047	14260	99.993	104.262	34.9	41.2
MU014361.1	1	21494	26262	21471	99.893	120.202	35	58.8
JAACYQ010012287.1	1	2764	2789	2764	100	101.032	35.1	59.7
JAACYQ010012304.1	1	2613	2111	2613	100	79.3257	35.1	59.8
JAACYQ010012314.1	1	2796	2754	2796	100	96.6588	35.2	59.8
JAACYQ010012505.1	1	1335	1189	1334	99.9251	86.6996	35	57.9
JAACYQ010012554.1	1	1611	1652	1611	100	103.274	35	56.5
JAACYQ010012606.1	1	3721	3372	3721	100	88.5472	35	12.9
JAACYQ010012712.1	1	1139	1408	1139	100	115.635	35.2	54.2
JAACYQ010012713.1	1	1048	501	1048	100	50.2185	35	54
JAACYQ010012754.1	1	6772	6795	6765	99.8966	96.5223	35.1	48.2
JAACYQ010012767.1	1	1063	1330	1063	100	125.915	35.1	54.9
JAACYQ010012789.1	1	2402	171	2386	99.3339	6.46128	34.4	38.3
JAACYQ010012802.1	1	12540	10535	12540	100	83.2485	35	57.9
JAACYQ010012810.1	1	1460	1600	1460	100	109.858	35.1	59.7
JAACYQ010012854.1	1	7529	7409	7529	100	98.2943	35	57.9
JAACYQ010012897.1	1	1798	1834	1798	100	100.526	34.7	47.3
JAACYQ010012967.1	1	2596	1720	2596	100	64.5586	34.9	28.7
JAACYQ010012990.1	1	2381	2163	2336	98.11	87.8412	35	59.9
JAACYQ010012995.1	1	9757	10618	9692	99.3338	107.98	35	59.3
JAACYQ010013011.1	1	1500	611	1500	100	41.4627	34.7	59.4
JAACYQ010013031.1	1	1429	629	1429	100	43.7306	35	34.9
JAACYQ010013132.1	1	3264	3203	3264	100	96.6808	34.8	59.1
JAACYQ010013153.1	1	1934	2039	1931	99.8449	105.029	35	45.8
JAACYQ010013155.1	1	4644	4560	4644	100	96.5157	34.5	59.2
JAACYQ010013178.1	1	7907	7769	7907	100	96.6187	35	54.8
JAACYQ010013210.1	1	3417	3491	3417	100	101.947	35.1	58.3
JAACYQ010013264.1	1	9649	11448	9649	100	118.591	34.9	55.3
JAACYQ010013287.1	1	7848	2695	7848	100	33.5298	35	54.7
JAACYQ010013302.1	1	3024	1892	3024	100	62.2397	35.2	9.69
JAACYQ010013314.1	1	1526	361	1523	99.8034	23.2248	34.9	46.5
JAACYQ010013329.1	1	2820	1314	2820	100	44.428	34.8	41.5
JAACYQ010013336.1	1	5401	6659	5401	100	110.885	34.9	54.1
JAACYQ010013692.1	1	635	10012	635	100	1591.15	34.7	43.6
JAACYQ010013732.1	1	734	6927	734	100	950.406	35.1	28.7
MU014362.1	1	16708	15721	16704	99.9761	93.4839	35	59.2
JAACYQ010013979.1	1	2383	2409	2383	100	96.034	35.1	52.6
JAACYQ010014219.1	1	1172	1217	1172	100	94.6988	34.9	57.9
JAACYQ010014233.1	1	3849	4283	3847	99.948	110.218	35.1	53.3
JAACYQ010014256.1	1	2132	2002	2132	100	94.3504	35.2	59.6
JAACYQ010014263.1	1	3113	2871	3113	100	91.8349	34.9	59.4
JAACYQ010014280.1	1	3379	2639	3379	100	77.0491	34.9	58.9
JAACYQ010014532.1	1	1926	1739	1926	100	87.9528	34.8	58.2
JAACYQ010014555.1	1	3905	4225	3905	100	105.866	34.8	53.5
JAACYQ010014569.1	1	2844	1829	2844	100	64.0956	34.5	38.5
JAACYQ010014582.1	1	5426	6459	5419	99.871	117.951	34.9	39.4
JAACYQ010014584.1	1	2459	1324	2459	100	51.8325	35.1	49.2
JAACYQ010014596.1	1	1419	1365	1419	100	96.7597	34.8	55.7
